Task,Loc,Basis,AdaBN,MK-MMD Max,MK-MMD Mean,JMMD Max,JMMD Mean,LJMMD Max,LJMMD Mean,CORAL Max,CORAL Mean,DANN Max,DANN Mean,CDAN Max,CDAN Mean,NWD Max,NWD Mean
Source,,,,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean
0_to_1,Best,,,,,,,,,,,,,,,37.58,34.75
0_to_1,Last,,,,,,,,,,,,,,,36.5,32.09
0_to_2,Best,,,,,,,,,,,,,,,95.73,94.14
0_to_2,Last,,,,,,,,,,,,,,,95.11,93.19
0_to_3,Best,,,,,,,,,,,,,,,79.43,76.94
0_to_3,Last,,,,,,,,,,,,,,,78.37,75.85
1_to_0,Best,,,,,,,,,,,,,,,27.65,26.51
1_to_0,Last,,,,,,,,,,,,,,,25.04,22.31
1_to_2,Best,,,,,,,,,,,,,,,30.99,29.59
1_to_2,Last,,,,,,,,,,,,,,,29.62,26.84
1_to_3,Best,,,,,,,,,,,,,,,22.39,20.42
1_to_3,Last,,,,,,,,,,,,,,,21.79,18.82
2_to_0,Best,,,,,,,,,,,,,,,92.63,91.89
2_to_0,Last,,,,,,,,,,,,,,,91.55,90.84
2_to_1,Best,,,,,,,,,,,,,,,43.1,36.29
2_to_1,Last,,,,,,,,,,,,,,,42.18,34.11
2_to_3,Best,,,,,,,,,,,,,,,81.09,78.73
2_to_3,Last,,,,,,,,,,,,,,,80.33,77.49
3_to_0,Best,,,,,,,,,,,,,,,74.5,68.36
3_to_0,Last,,,,,,,,,,,,,,,72.96,67.34
3_to_1,Best,,,,,,,,,,,,,,,28.99,26.35
3_to_1,Last,,,,,,,,,,,,,,,27.61,21.41
3_to_2,Best,,,,,,,,,,,,,,,78.78,73.41
3_to_2,Last,,,,,,,,,,,,,,,77.71,72.4
