Task,Loc,Basis,AdaBN,MK-MMD Max,MK-MMD Mean,JMMD Max,JMMD Mean,LJMMD Max,LJMMD Mean,CORAL Max,CORAL Mean,DANN Max,DANN Mean,CDAN Max,CDAN Mean,NWD Max,NWD Mean
Source,,,,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean
0_to_1,Best,,,,,,,,,,,,,,,35.74,32.76
0_to_1,Last,,,,,,,,,,,,,,,35.12,30.52
0_to_2,Best,,,,,,,,,,,,,,,77.4,76.61
0_to_2,Last,,,,,,,,,,,,,,,76.03,75.66
0_to_3,Best,,,,,,,,,,,,,,,52.04,50.71
0_to_3,Last,,,,,,,,,,,,,,,51.44,49.59
1_to_0,Best,,,,,,,,,,,,,,,36.41,33.46
1_to_0,Last,,,,,,,,,,,,,,,32.26,29.8
1_to_2,Best,,,,,,,,,,,,,,,37.56,34.17
1_to_2,Last,,,,,,,,,,,,,,,34.81,29.92
1_to_3,Best,,,,,,,,,,,,,,,30.11,28.2
1_to_3,Last,,,,,,,,,,,,,,,26.63,25.33
2_to_0,Best,,,,,,,,,,,,,,,77.88,75.88
2_to_0,Last,,,,,,,,,,,,,,,76.04,74.29
2_to_1,Best,,,,,,,,,,,,,,,36.35,33.68
2_to_1,Last,,,,,,,,,,,,,,,34.51,31.47
2_to_3,Best,,,,,,,,,,,,,,,46.9,45.08
2_to_3,Last,,,,,,,,,,,,,,,46.29,44.11
3_to_0,Best,,,,,,,,,,,,,,,44.7,40.8
3_to_0,Last,,,,,,,,,,,,,,,44.09,40.03
3_to_1,Best,,,,,,,,,,,,,,,25.61,23.68
3_to_1,Last,,,,,,,,,,,,,,,21.63,18.8
3_to_2,Best,,,,,,,,,,,,,,,41.22,39.17
3_to_2,Last,,,,,,,,,,,,,,,40.61,37.62
